run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,1,1,0.000000,3680,3800,3680,120,3.1579,GLOBAL_BEST,0,42,0,1,0,1,1,1,1200000.0000,120000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,1,1,0.000000,3740,3800,3740,60,1.5789,LOCAL_BEST,0,42,0,1,0,2,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,2,1,0.000000,3530,3680,3530,150,4.0761,GLOBAL_BEST,0,42,0,1,0,3,1,0,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,3,1,99.994474,3585,3800,3585,215,5.6579,LOCAL_BEST,0,42,1,4,0,4,1,0,2150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,4,1,99.991711,3485,3585,3485,100,2.7894,LOCAL_BEST,0,42,1,8,0,5,1,0,1000000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,5,1,0.000000,3380,3530,3380,150,4.2493,GLOBAL_BEST,0,42,0,9,0,6,1,0,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,5,1,0.000000,3455,3740,3455,285,7.6203,LOCAL_BEST,0,42,0,11,0,7,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,6,1,0.000000,3160,3380,3160,220,6.5089,GLOBAL_BEST,0,42,0,9,0,8,1,0,2200000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,6,1,0.000000,3425,3455,3425,30,0.8683,LOCAL_BEST,0,42,0,11,0,9,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,7,1,0.000000,3130,3160,3130,30,0.9494,GLOBAL_BEST,0,42,0,12,0,10,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,9,1,0.000000,3410,3425,3410,15,0.4380,LOCAL_BEST,0,42,0,20,0,11,2,0,75000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,10,1,0.000000,3350,3410,3350,60,1.7595,LOCAL_BEST,0,42,0,23,0,12,1,0,600000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,12,1,0.000000,3260,3350,3260,90,2.6866,LOCAL_BEST,0,42,0,23,0,13,2,0,450000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,13,1,0.000000,3110,3130,3110,20,0.6390,GLOBAL_BEST,0,42,2,16,0,14,1,0,200000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,13,1,99.966848,3435,3485,3435,50,1.4347,LOCAL_BEST,0,42,5,30,0,15,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,13,1,0.000000,2990,3260,2990,270,8.2822,LOCAL_BEST,0,42,0,24,0,16,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,14,1,0.000000,3005,3110,3005,105,3.3762,GLOBAL_BEST,0,42,2,22,0,17,1,0,1050000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,15,1,0.000000,2785,3005,2785,220,7.3211,GLOBAL_BEST,0,42,2,23,0,18,1,0,2200000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,16,1,99.958562,3165,3435,3165,270,7.8603,LOCAL_BEST,0,42,6,33,1,19,1,0,2700000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,17,1,0.000000,2635,2785,2635,150,5.3860,GLOBAL_BEST,0,42,2,24,1,20,1,0,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,19,1,99.950277,3045,3165,3045,120,3.7915,LOCAL_BEST,0,42,6,40,2,21,2,0,600000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,19,1,0.000000,2840,2990,2840,150,5.0167,LOCAL_BEST,0,42,0,34,0,22,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,19,1,0.000000,2605,2635,2605,30,1.1385,GLOBAL_BEST,0,42,2,27,1,23,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,20,1,99.947515,2985,3045,2985,60,1.9704,LOCAL_BEST,0,42,6,43,2,24,1,0,600000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,20,1,0.000000,2810,2840,2810,30,1.0563,LOCAL_BEST,0,42,0,37,0,25,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,20,1,0.000000,2575,2605,2575,30,1.1516,GLOBAL_BEST,0,42,2,27,1,26,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,21,1,99.944753,2895,2985,2895,90,3.0151,LOCAL_BEST,0,42,6,46,2,27,1,0,900000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,24,1,0.000000,2510,2810,2510,300,10.6762,GLOBAL_BEST,0,42,0,38,0,28,3,0,1000000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,5,1,24,45,0.000000,785,860,785,75,8.7209,GLOBAL_BEST,1,42,0,33,22,29,0,44,0.0000,1704.5455,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,25,1,99.933708,2875,2895,2875,20,0.6908,LOCAL_BEST,0,42,7,67,4,30,1,-44,200000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,28,1,0.000000,2470,2510,2470,40,1.5936,GLOBAL_BEST,0,42,0,42,0,31,3,0,133333.3333,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,29,1,99.922663,2785,2875,2785,90,3.1304,LOCAL_BEST,0,42,8,73,4,32,1,0,900000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,30,1,0.000000,2415,2470,2415,55,2.2267,LOCAL_BEST,0,42,0,48,0,33,1,0,550000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,32,1,0.000000,2400,2415,2400,15,0.6211,LOCAL_BEST,0,42,0,54,0,34,2,0,75000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,34,1,0.000000,2235,2400,2235,165,6.8750,LOCAL_BEST,0,42,0,57,0,35,2,0,825000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,35,1,99.906099,2695,2785,2695,90,3.2316,LOCAL_BEST,0,42,9,89,4,36,1,0,900000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,36,1,99.903338,2655,2695,2655,40,1.4842,LOCAL_BEST,0,42,9,93,4,37,1,0,400000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,37,1,99.900578,2640,2655,2640,15,0.5650,LOCAL_BEST,0,42,9,95,4,38,1,0,150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,37,1,0.000000,2220,2235,2220,15,0.6711,LOCAL_BEST,0,42,0,58,0,39,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,1,38,1,0.000000,2070,2220,2070,150,6.7568,LOCAL_BEST,0,42,0,60,0,40,1,0,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,1,43,1,99.884017,2530,2640,2530,110,4.1667,LOCAL_BEST,0,42,11,102,5,41,5,0,220000.0000,0.0000,0,0,0,0,0,0
