run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,10,8,0,180534,0.681698,440,440,385,100000,36.11,36.11,769,2459
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,10,8,0,280534,0.043012,440,440,385,100000,56.11,56.11,769,1689
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,10,8,0,380534,0.002714,440,440,385,100000,76.11,76.11,769,919
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,10,8,0,480534,0.000171,440,440,385,100000,96.11,96.11,769,149
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,20,18,0,172594,0.848930,440,440,385,100000,34.52,34.52,769,2520
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,20,18,0,272594,0.053564,440,440,385,100000,54.52,54.52,769,1750
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,20,18,0,372594,0.003380,440,440,385,100000,74.52,74.52,769,980
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,20,18,0,472594,0.000213,440,440,385,100000,94.52,94.52,769,210
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,32,30,0,172902,0.841736,460,410,385,100000,34.58,34.58,769,2518
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,32,30,0,272902,0.053110,460,410,385,100000,54.58,54.58,769,1748
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,32,30,0,372902,0.003351,460,410,385,100000,74.58,74.58,769,978
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,32,30,0,472902,0.000211,460,410,385,100000,94.58,94.58,769,208
