run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,4,2,0,986921,50.118723,1620,400,400,100000,98.69,98.69,259,33
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,200344,6.279658,450,410,400,100000,20.03,20.03,259,2078
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,300344,1.577379,440,410,400,100000,30.03,30.03,259,1818
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,400344,0.396220,435,410,400,100000,40.03,40.03,259,1558
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,500344,0.099526,435,410,400,100000,50.03,50.03,259,1298
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,600344,0.025000,435,410,400,100000,60.03,60.03,259,1038
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,700344,0.006280,435,410,400,100000,70.03,70.03,259,778
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,800344,0.001577,435,410,400,100000,80.03,80.03,259,518
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,13,11,0,900344,0.000396,435,410,400,100000,90.03,90.03,259,259
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,-1,0,102432,0.000000,2870,1420,415,100000,10.24,10.24,259,2332
