run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,59,129,0.000000,915,920,915,5,0.5435,GLOBAL_BEST,1,101,0,76,46,24,1,-106,50000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,60,129,0.000000,855,915,855,60,6.5574,GLOBAL_BEST,1,101,0,79,46,25,1,0,600000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,66,129,0.000000,825,855,825,30,3.5088,GLOBAL_BEST,1,101,0,87,50,26,6,0,50000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,75,1,0.000000,1925,1985,1925,60,3.0227,GLOBAL_BEST,0,101,0,138,0,27,9,-128,66666.6667,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,76,1,0.000000,1895,1925,1895,30,1.5584,GLOBAL_BEST,0,101,0,140,0,28,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,79,1,0.000000,1850,1895,1850,45,2.3747,GLOBAL_BEST,0,101,0,140,0,29,3,0,150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,81,1,0.000000,1715,1850,1715,135,7.2973,GLOBAL_BEST,0,101,0,141,0,30,2,0,675000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,5,2,102,235,0.000000,475,520,475,45,8.6538,GLOBAL_BEST,2,101,0,159,94,31,21,234,21428.5714,192.3077,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,116,177,0.000000,635,655,635,20,3.0534,GLOBAL_BEST,2,101,0,180,100,32,14,-58,14285.7143,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,346,83,0.000000,1275,1285,1275,10,0.7782,GLOBAL_BEST,1,101,0,542,214,33,230,-94,434.7826,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,347,83,0.000000,1185,1275,1185,90,7.0588,GLOBAL_BEST,1,101,0,545,214,34,1,0,900000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,451,178,0.000000,610,635,610,25,3.9370,GLOBAL_BEST,2,101,0,705,380,35,104,95,2403.8462,263.1579,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,510,83,0.000000,1125,1185,1125,60,5.0633,GLOBAL_BEST,1,101,0,810,305,36,59,-95,10169.4915,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,898,178,0.000000,545,610,545,65,10.6557,GLOBAL_BEST,2,101,0,1499,744,37,388,95,1675.2577,684.2105,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,1752,3,0.000000,1710,1715,1710,5,0.2915,GLOBAL_BEST,0,101,0,3066,0,38,854,-175,58.5480,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,5,2,1923,238,0.000000,470,475,470,5,1.0526,GLOBAL_BEST,2,101,0,2786,1661,39,171,235,292.3977,21.2766,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,5,2,1927,238,0.000000,455,470,455,15,3.1915,GLOBAL_BEST,2,101,0,2792,1664,40,4,0,37500.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,5,2,2008,238,0.000000,425,455,425,30,6.5934,GLOBAL_BEST,2,101,0,2907,1730,41,81,0,3703.7037,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,3314,135,0.000000,815,825,815,10,1.2121,GLOBAL_BEST,1,101,0,5259,2529,42,1306,-103,76.5697,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,3441,89,0.000000,1090,1125,1090,35,3.1111,GLOBAL_BEST,1,101,0,5750,1969,43,127,-46,2755.9055,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,5785,138,0.000000,765,815,765,50,6.1350,GLOBAL_BEST,1,101,0,8975,4307,44,2344,49,213.3106,1020.4082,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,10715,19,0.000000,1705,1710,1705,5,0.2924,GLOBAL_BEST,0,101,0,19183,0,45,4930,-119,10.1420,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,12044,21,0.000000,1675,1705,1675,30,1.7595,GLOBAL_BEST,0,101,0,21439,0,46,1329,2,225.7336,15000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,13653,151,0.000000,755,765,755,10,1.3072,GLOBAL_BEST,1,101,0,21274,10022,47,1609,130,62.1504,76.9231,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,15752,109,0.000000,1080,1090,1080,10,0.9174,GLOBAL_BEST,1,101,0,25774,8655,48,2099,-42,47.6417,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,18541,32,0.000000,1660,1675,1660,15,0.8955,GLOBAL_BEST,0,101,0,32974,512,49,2789,-77,53.7827,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,18568,114,0.000000,1030,1080,1030,50,4.6296,GLOBAL_BEST,1,101,0,30443,10304,50,27,82,18518.5185,609.7561,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,19348,160,0.000000,745,755,745,10,1.3245,GLOBAL_BEST,1,101,0,30618,14235,51,780,46,128.2051,217.3913,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,20947,36,0.000000,1645,1660,1645,15,0.9036,GLOBAL_BEST,0,101,0,37251,756,52,1599,-124,93.8086,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,21449,36,0.000000,1575,1645,1575,70,4.2553,GLOBAL_BEST,0,101,0,38213,810,53,502,0,1394.4223,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,21450,36,0.000000,1455,1575,1455,120,7.6190,GLOBAL_BEST,0,101,0,38213,810,54,1,0,1200000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,27825,129,0.000000,1010,1030,1010,20,1.9417,GLOBAL_BEST,1,101,0,45530,15722,55,6375,93,31.3725,215.0538,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,30429,177,0.000000,715,745,715,30,4.0268,GLOBAL_BEST,1,101,0,47978,22487,56,2604,48,115.2074,625.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,32819,137,0.000000,990,1010,990,20,1.9802,LOCAL_BEST,1,101,0,53434,18641,57,2390,-40,83.6820,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,32820,137,0.000000,980,990,980,10,1.0101,LOCAL_BEST,1,101,0,53434,18641,58,1,0,100000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,34209,184,0.000000,695,715,695,20,2.7972,LOCAL_BEST,1,101,0,54040,25309,59,1389,47,143.9885,425.5319,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,38032,235,0.000000,535,545,535,10,1.8349,GLOBAL_BEST,2,101,0,57782,31819,60,3823,51,26.1575,196.0784,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,44028,244,0.000000,520,535,520,15,2.8037,LOCAL_BEST,2,101,0,66970,36725,61,5996,9,25.0167,1666.6667,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,48774,83,0.000000,1450,1455,1450,5,0.3436,GLOBAL_BEST,0,101,0,85721,6150,62,4746,-161,10.5352,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,52034,212,0.000000,680,695,680,15,2.1583,LOCAL_BEST,1,101,0,82179,38588,63,3260,129,46.0123,116.2791,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,52048,89,0.000000,1350,1450,1350,100,6.8966,LOCAL_BEST,0,101,0,91231,7011,64,14,-123,71428.5714,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,53633,214,0.000000,650,680,650,30,4.4118,LOCAL_BEST,1,101,0,84513,39764,65,1585,125,189.2744,240.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,55612,174,0.000000,960,980,960,20,2.0408,LOCAL_BEST,1,101,0,90594,32269,66,1979,-40,101.0611,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,55613,174,0.000000,930,960,930,30,3.1250,LOCAL_BEST,1,101,0,90594,32269,67,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,62003,270,0.000000,495,520,495,25,4.8077,LOCAL_BEST,2,101,0,94197,52015,68,6390,96,39.1236,260.4167,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,90880,155,0.000000,1310,1350,1310,40,2.9630,LOCAL_BEST,0,101,0,157987,19025,69,28877,-115,13.8519,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,95544,239,0.000000,920,930,920,10,1.0753,LOCAL_BEST,1,101,0,154875,57104,70,4664,84,21.4408,119.0476,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,95856,163,0.000000,1290,1310,1290,20,1.5267,LOCAL_BEST,0,101,0,166418,20739,71,312,-76,641.0256,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,100269,171,0.000000,1225,1290,1225,65,5.0388,LOCAL_BEST,0,101,0,174066,22324,72,4413,8,147.2921,8125.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,111778,265,0.000000,885,920,885,35,3.8043,LOCAL_BEST,1,101,0,180833,67524,73,11509,94,30.4110,372.3404,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,111780,265,0.000000,810,885,810,75,8.4746,LOCAL_BEST,1,101,0,180839,67524,74,2,0,375000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,115273,270,0.000000,800,810,800,10,1.2346,LOCAL_BEST,1,101,0,186115,69739,75,3493,5,28.6287,2000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,120633,361,0.000000,490,495,490,5,1.0101,LOCAL_BEST,2,101,0,183928,102323,76,5360,91,9.3284,54.9451,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,129483,373,0.000000,485,490,485,5,1.0204,LOCAL_BEST,2,101,0,197188,109931,77,8850,12,5.6497,416.6667,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,131229,343,0.000000,635,650,635,15,2.3077,LOCAL_BEST,1,101,0,204090,100062,78,1746,-30,85.9107,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,147486,251,0.000000,1195,1225,1195,30,2.4490,LOCAL_BEST,0,101,0,253279,41861,79,16257,-92,18.4536,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,159589,270,0.000000,1185,1195,1185,10,0.8368,LOCAL_BEST,0,101,0,273599,47027,80,12103,19,8.2624,526.3158,0,0,0,0,0,0
